,X Avg,Y Avf
T_175050,127.0244756,37.50484683
T_173139,127.024532,37.48277698
T_179642,127.0246579,37.51041543
T_174582,127.024662,37.49709853
T_175052,127.0246746,37.50381012
T_174583,127.0247104,37.49697175
T_173660,127.024718,37.49884205
T_181362,127.0247256,37.51218132
T_182276,127.0247291,37.51051205
T_174586,127.0247385,37.49565851
T_173663,127.0247582,37.49875564
T_181365,127.024762,37.51205614
T_172519,127.0248108,37.49951704
T_174587,127.0248317,37.49570368
T_179637,127.0248518,37.50828
T_179677,127.0248714,37.51277307
T_180490,127.0248802,37.50470647
T_173169,127.0248824,37.48338963
T_182283,127.0249107,37.50817436
T_172520,127.0249128,37.49955761
T_173148,127.024918,37.48322389
T_180491,127.0249198,37.50455639
T_175059,127.0249326,37.50388866
T_179672,127.0249753,37.51283528
T_174598,127.0252024,37.49470836
T_179826,127.0252783,37.50685607
T_175053,127.0252805,37.50254435
T_174573,127.025288,37.49675563
T_174597,127.0252899,37.4947548
T_179823,127.0253305,37.50674612
T_174576,127.0253955,37.49680946
T_174572,127.0254195,37.49548639
T_174571,127.0254555,37.49537194
T_179790,127.0255013,37.50417653
T_174581,127.025507,37.49737084
T_175058,127.0255313,37.50262993
T_174584,127.0255479,37.49724465
T_172524,127.0255705,37.49909572
T_172525,127.0256047,37.49900806
T_174574,127.0256582,37.49594953
T_173140,127.0257055,37.48204596
T_179643,127.0257267,37.50972785
T_174599,127.025734,37.49360174
T_174575,127.0257653,37.49600421
T_182275,127.0257917,37.50982865
T_174596,127.0258182,37.49364656
T_173756,127.0258273,37.49176384
T_167933,127.0258477,37.48721605
T_181385,127.0258498,37.5125288
T_173761,127.0258583,37.49168929
T_175054,127.0258796,37.50128421
T_174672,127.0258846,37.48732968
T_181386,127.0258912,37.51240491
T_181637,127.0259085,37.5050152
T_172544,127.025921,37.48785773
T_151897,127.0259447,37.48356059
T_181728,127.0259523,37.50486162
T_172545,127.0259613,37.48773315
T_173172,127.02598,37.48339695
T_179791,127.0260049,37.50306041
T_174577,127.0260443,37.49699543
T_175057,127.026129,37.50137236
T_174580,127.0261493,37.49705365
T_179636,127.0262329,37.50874784
T_174600,127.0262465,37.49249322
T_182284,127.0262751,37.50863527
T_174569,127.0262897,37.49574934
T_174570,127.0263228,37.495634
T_174595,127.0263364,37.49253107
T_174603,127.0263618,37.49764631
T_174604,127.026405,37.49750779
T_172523,127.0264313,37.4993546
T_174578,127.0264531,37.49618562
T_179825,127.0264588,37.50728392
T_172526,127.0264674,37.49927091
T_175055,127.0264693,37.50002026
T_179824,127.0265015,37.50717172
T_179792,127.0265191,37.50194947
T_174579,127.0265581,37.49624385
T_179640,127.0265878,37.50911959
T_179639,127.0266622,37.50921375
T_179647,127.0266757,37.50989306
T_175056,127.0267204,37.50011523
T_173202,127.0267661,37.49135717
T_182278,127.026771,37.50981814
T_173213,127.0267722,37.4836716
T_173184,127.0268135,37.48349634
T_173211,127.0268595,37.49139806
T_179634,127.0269562,37.50852213
T_175064,127.0269922,37.49889601
T_179635,127.0270181,37.50778579
T_173228,127.0270317,37.48133681
T_179793,127.0270322,37.50084957
T_174446,127.0270359,37.49810392
T_179633,127.0270748,37.50854153
T_174591,127.0270952,37.49216877
T_174602,127.0271183,37.49598183
